Date,S&P_500,NASDAQ,Dow_Jones
4/21/1989,309.61,423.8,2409.46
4/28/1989,309.64,427.6,2418.8
5/5/1989,307.61,430.7,2381.96
5/12/1989,313.84,434.8,2439.7
5/19/1989,321.24,442.1,2501.1
5/26/1989,321.59,445.2,2493.77
6/2/1989,325.52,451.6,2517.83
6/9/1989,326.69,453.7,2513.42
6/16/1989,321.35,447.2,2486.38
6/23/1989,328,448.4,2531.87
6/30/1989,317.98,435.3,2440.06
7/7/1989,324.91,442.4,2487.86
7/14/1989,331.84,448.9,2554.82
7/21/1989,335.9,449.3,2607.36
7/28/1989,342.15,452.8,2635.24
8/4/1989,343.92,457.4,2653.45
8/11/1989,344.74,462.5,2683.99
8/18/1989,346.03,462,2687.97
8/25/1989,350.52,466.8,2732.36
9/1/1989,353.73,471.3,2752.09
9/8/1989,348.76,471.3,2709.54
9/15/1989,345.06,467.6,2674.58
9/22/1989,347.05,468.1,2681.61
9/29/1989,349.15,472.9,2692.82
10/6/1989,358.78,483.6,2785.52
10/13/1989,333.65,467.3,2569.26
10/20/1989,347.16,470.7,2689.14
10/27/1989,335.06,452.8,2596.72
11/3/1989,337.62,453,2629.51
11/10/1989,339.1,456.2,2625.61
11/17/1989,341.61,456.7,2652.66
11/24/1989,343.97,456.6,2675.55
12/1/1989,350.63,457.1,2747.65
12/8/1989,348.69,456.2,2731.44
12/15/1989,350.14,443.8,2739.55
12/22/1989,347.42,444.6,2711.39
12/29/1989,353.4,454.8,2753.2
1/5/1990,352.2,458.2,2773.25
1/12/1990,339.93,439.7,2689.21
1/19/1990,339.15,440.9,2677.9
1/26/1990,325.8,421.3,2559.23
2/2/1990,330.92,422.2,2602.7
2/9/1990,333.62,428.8,2648.2
2/16/1990,332.72,429,2635.59
2/23/1990,324.15,419.5,2564.19
3/2/1990,335.54,431,2660.36
3/9/1990,337.93,436.8,2683.33
3/16/1990,341.91,442.2,2741.22
3/23/1990,337.22,437.3,2704.28
3/30/1990,339.94,435.5,2707.21
4/6/1990,340.08,430.9,2717.12
4/12/1990,344.34,436.3,2751.8
4/20/1990,335.12,425.8,2695.95
4/27/1990,329.11,418,2645.05
5/4/1990,338.39,428.6,2710.36
5/11/1990,352,438.1,2801.58
5/18/1990,354.64,448.3,2819.91
5/25/1990,354.58,453.7,2820.92
6/1/1990,363.16,462.1,2900.97
6/8/1990,358.71,460.9,2862.38
6/15/1990,362.91,467.6,2935.89
6/22/1990,355.43,459.3,2857.18
6/29/1990,358.02,462.3,2880.69
7/6/1990,358.42,460.5,2904.95
7/13/1990,367.31,468.4,2980.2
7/20/1990,361.61,455.3,2961.14
7/27/1990,353.44,442.6,2898.51
8/3/1990,344.86,417.5,2809.65
8/10/1990,335.52,408,2716.58
8/17/1990,327.83,393.5,2644.8
8/24/1990,311.51,367.3,2532.92
8/31/1990,322.56,381.2,2614.36
9/7/1990,323.4,380.4,2619.55
9/14/1990,316.83,374.4,2564.11
9/21/1990,311.32,362.3,2512.38
9/28/1990,306.05,344.5,2452.48
10/5/1990,311.5,347.4,2510.64
10/12/1990,300.03,327.6,2398.02
10/19/1990,312.48,337.4,2520.79
10/26/1990,304.71,334.4,2436.14
11/2/1990,311.85,336.5,2490.84
11/9/1990,313.74,342,2488.61
11/16/1990,317.12,350.9,2550.25
11/23/1990,315.1,349,2527.23
11/30/1990,322.22,359.1,2559.65
12/7/1990,327.75,371.5,2590.1
12/14/1990,326.82,368.8,2593.81
12/21/1990,331.75,373.6,2633.66
12/28/1990,328.72,371.2,2629.21
1/4/1991,321,367.2,2566.09
1/11/1991,315.23,361.8,2501.49
1/18/1991,332.23,377,2646.78
1/25/1991,336.07,394.3,2659.41
2/1/1991,343.05,417.7,2730.69
2/8/1991,359.35,436.8,2830.69
2/15/1991,369.06,448.7,2934.65
2/22/1991,365.65,449,2889.36
3/1/1991,370.47,456.7,2909.9
3/8/1991,374.95,475.11,2955.2
3/15/1991,373.59,466.29,2948.27
3/22/1991,367.48,464.15,2858.91
3/28/1991,375.22,482.3,2913.86
4/5/1991,375.36,495.79,2896.78
4/12/1991,380.4,501.62,2920.79
